X,Y,fid,Route ID,Station Nu,Latitude,Longitude,km,Municipali,Year,Direction,Directio_1,AADT,icon_url
-67.923,18.4011,1,PR-119,A011901835,18.4011,-67.923,"18.6",Quebradillas,2020,To PR-453,To PR-476,"1,457",./0.png
-67.2494,18.347,2,PR-115,A011501370,18.347,-67.2494,"14.3",Rincón,2019,To PR?413 KM 6.1,To PR?413 KM 0.0,"7,423",./0.png
-67.2468,18.3378,3,PR-412,A041200000,18.3378,-67.2468,"0.52",Rincón,2019,To PR-4412,To PR-115,"2,961",./0.png
-67.2437,18.3538,4,PR-413,A041300000,18.3538,-67.2437,"5.89",Rincón,2019,To PR-115 KM 15.3,To PR-115 KM 13.5,"3,243",./0.png
-67.2424,18.3226,5,PR-115,A011500910,18.3226,-67.2424,"11",Rincón,2019,To PR-412,To PR-429,"13,588",./0.png
-67.2396,18.3115,6,PR-429,A042900000,18.3115,-67.2396,"1.1",Rincón,2020,To PR-115 Norte,To PR-115 Sur,"1,677",./0.png
-67.2341,18.3652,7,PR-115,A011501570,18.3652,-67.2341,"17.23",Rincón,2019,To PR-414,To PR-400,"7,634",./0.png
-67.2315,18.3603,8,PR-400,A040000000,18.3603,-67.2315,"0.7",Rincón,2020,To PR-115,To PR-414,"291",./0.png
-67.2257,18.3508,9,PR-414,A041400000,18.3508,-67.2257,"3.4",Rincón,2020,To PR-400,To PR-4412,"1,491",./0.png
-67.2242,18.3773,10,PR-115,A011501750,18.3773,-67.2242,"19.7",Aguada,2020,To PR-414,To PR-400,"7,398",./0.png
-67.2239,18.297,11,PR-429,A042900360,18.297,-67.2239,"3.8",Añasco,2020,To PR-115 Este,To PR-115 Oeste,"847",./0.png
-67.2233,18.3145,12,PR-411,A041101770,18.3145,-67.2233,"18.6",Rincón,2020,To PR-412,To PR-115,"3,968",./0.png
-67.2187,18.3523,13,PR-4412,A441200180,18.3523,-67.2187,"4.5",Aguada,2020,To PR-414,To PR-412,"1,799",./0.png
-67.2121,18.381,14,PR-414,A041400350,18.381,-67.2121,"7.9",Aguada,2020,To PR-115,To PR-4412,"3,757",./0.png
-67.2109,18.2962,15,PR-115,A011500450,18.2962,-67.2109,"5.9",Añasco,2020,To PR-402,To PR-429,"7,988",./0.png
-67.2074,18.3245,16,PR-4412,A441200000,18.3245,-67.2074,"0.1",Rincón,2020,To PR-414,To PR-412,"1,035",./0.png
-67.2064,18.3823,17,PR-115,A011502070,18.3823,-67.2064,"21.05",Aguada,2019,To PR-411,To PR-414,"14,080",./0.png
-67.2,18.3147,18,PR-411,A041101310,18.3147,-67.2,"15.1",Rincón,2020,To PR-412,To PR-115,"725",./0.png
-67.1999,17.9792,19,PR-3301,C00330100000,17.9792,-67.1999,"1.6",Cabo Rojo,2021,To PR-301,To End of Road,"3,021",./0.png
-67.1988,18.3829,20,PR-115,A011502180,18.3829,-67.1988,"21.86",Aguada,2019,To PR-411,To PR-414,"10,020",./0.png
-67.1984,18.3116,21,PR-411,D00041101310,18.3116,-67.1984,"14.6",Rincón,2022,To PR-412,To PR-115,"676",./0.png
-67.1982,18.3798,22,AVENIDA NATIVO ALERS DESVÍO SUR,M020030000,18.3798,-67.1982,"0",Aguada,2020,To PR-411,To PR-115,"6,465",./0.png
-67.198,18.3565,23,PR-411,A041100130,18.3565,-67.198,"3.5",Aguada,2020,To PR-115,To PR-403,"2,440",./0.png
-67.1956,18.2965,24,PR-402,A040200730,18.2965,-67.1956,"7.6",Añasco,2020,To PR-4401,To PR-115,"4,866",./0.png
-67.1953,18.3876,25,PR-441,A044100010,18.3876,-67.1953,"0.89",Aguada,2019,To CALLE A,To CALLE ACCESO ESTE,"5,102",./0.png
-67.1929,18.3757,26,PR-411,A041100025,18.3757,-67.1929,"0.6",Aguada,2020,To PR-115,To PR-403,"5,769",./0.png
-67.1925,18.3736,27,PR-411,D00041100025,18.3736,-67.1925,"0.9",Aguada,2022,To PR-115,To PR-403,"6,777",./0.png
-67.1923,18.3397,28,PR-411,A041100500,18.3397,-67.1923,"5.7",Aguada,2020,To PR-403,To PR-416,"1,784",./0.png
-67.1923,18.3797,29,PR-411,A041100000,18.3797,-67.1923,"0.1",Aguada,2020,To PR-115,To PR-4400,"6,193",./0.png
-67.1921,18.2989,30,PR-4401,A440100000,18.2989,-67.1921,"0.2",Añasco,2020,To End of Road,To PR-402,"450",./0.png
-67.1921,18.3797,31,PR-411,D00041100000,18.3797,-67.1921,"0.2",Aguada,2022,To PR-115,To PR-403,"7,405",./0.png
-67.1915,18.3171,32,PR-411,A041101230,18.3171,-67.1915,"13",Rincón,2020,To PR-4411,To PR-412,"1,133",./0.png
-67.1915,18.3815,33,PR-441,A044100000,18.3815,-67.1915,"0.11",Aguada,2019,"-",To PR?115,"6,697",./0.png
-67.1912,18.396,34,PR-441,A044100125,18.396,-67.1912,"2",Aguada,2020,To End of Road,To PR-115,"1,229",./0.png
-67.1874,18.2944,35,PR-401,A040100000,18.2944,-67.1874,"0.2",Añasco,2020,To PR-115,To End of Road,"3,000",./0.png
-67.187,18.2962,36,PR-115,A011500000,18.2962,-67.187,"3.3",Añasco,2019,To PR-2,To PR-401,"8,890",./0.png
-67.186,17.9747,37,PR-301,A030100810,17.9747,-67.186,"8.3",Cabo Rojo,2019,To CALLE LUNA,To CALLE SOL,"1,791",./0.png
-67.1859,18.2984,38,PR-402,A040200350,18.2984,-67.1859,"6.8",Añasco,2020,To PR-4402,To PR-4401,"6,240",./0.png
-67.1857,18.3133,39,PR-411,A041101150,18.3133,-67.1857,"11.8",Aguada,2020,To PR-4411,To PR-412,"1,213",./0.png
-67.1855,18.3419,40,PR-403,A040300000,18.3419,-67.1855,"1",Aguada,2020,To PR-416,To PR-411,"1,419",./0.png
-67.1846,18.3784,41,PR-417,A041700000,18.3784,-67.1846,"0.2",Aguada,2020,To PR-416,To PR-115 One Way,"4,063",./0.png
-67.1838,18.3772,42,AVENIDA NATIVO ALERS DESVÍO SUR,M020030011,18.3772,-67.1838,"0",Aguada,2020,To PR-417,To PR-411,"9,626",./0.png
-67.1835,18.3808,43,PR-115,A011502359,18.3808,-67.1835,"23.6",Aguada,2020,To PR-4115,To PR-417,"12,577",./0.png
-67.183,18.3531,44,PR-416,A041600145,18.3531,-67.183,"3",Aguada,2020,To PR-4416,To PR-403,"1,891",./0.png
-67.1827,18.3779,45,PR-417,A041700030,18.3779,-67.1827,"0.45",Aguada,2019,To PR-416,To PR-115,"6,741",./0.png
-67.1812,18.3778,46,PR-417,D00041700030,18.3778,-67.1812,"0.55",Aguada,2022,To PR-4415,To PR-115,"6,561",./0.png
-67.1804,18.3146,47,PR-411,A041101030,18.3146,-67.1804,"11.1",Aguada,2020,To PR-4411,To PR-412,"1,645",./0.png
-67.1796,18.3776,48,PR-417 WB 0.8 ENTR,DPR417WB0.8ENTR,18.3776,-67.1796,"0.8",Aguada,2022,To PR-417,To PR-4415,"2,189",./0.png
-67.178,18.3765,49,PR-417,A041700080,18.3765,-67.178,"1",Aguada,2020,To PR-416,To Avenida Nativo Alers Desvío Sur,"13,117",./0.png
-67.1774,18.1586,50,PR-102,C00010200760,18.1586,-67.1774,"8.9",Cabo Rojo,2021,To PR-63,To PR-308,"6,920",./0.png
-67.177,18.3833,51,PR-4415,A441500000,18.3833,-67.177,"0.3",Aguada,2020,To PR-115,To End of Road,"5,860",./0.png
-67.1767,18.3704,52,PR-416,A041600000,18.3704,-67.1767,"0.7",Aguada,2019,To PR-417,To PR-4416,"6,479",./0.png
-67.1765,18.3704,53,PR-416,D00041600000,18.3704,-67.1765,"0.7",Aguada,2022,To PR-417,To PR-4416,"6,638",./0.png
-67.1764,18.1545,54,PR-102,C00010200890,18.1545,-67.1764,"9.3",Cabo Rojo,2021,To PR-63,To PR-308,"7,444",./0.png
-67.1755,18.3857,55,PR-4415 NB TO PR-115 EB,DPR4415NBTOPR115EB,18.3857,-67.1755,"0",Aguada,2022,To PR-115,To PR-4415,"3,322",./0.png
-67.1754,17.9846,56,PR-301,D00030100420,17.9846,-67.1754,"6.3",Cabo Rojo,2022,To PR-303,To PR-3301,"5,989",./0.png
-67.1754,18.3041,57,PR-4402,A440200000,18.3041,-67.1754,"0.69",Añasco,2020,To End of Road,To PR-402,"496",./0.png
-67.1749,18.2476,58,PR-341,C00034100000,18.2476,-67.1749,"0.2",Mayagüez,2021,To End of Road,To PR-64,"3,355",./0.png
-67.1746,18.0291,59,PR-307,C00030700740,18.0291,-67.1746,"8.7",Cabo Rojo,2021,To PR-308,To PR-101,"3,430",./0.png
-67.1743,18.2467,60,PR-64 SB TO PR-341 SLIP NB,DPR64SBTOPR341SLIPNB,18.2467,-67.1743,"0",Mayagüez,2022,To PR-341,To PR-64,"459",./0.png
-67.1741,18.2461,61,PR-341 SB TO PR-64 SB,DPR341SBTOPR64SB,18.2461,-67.1741,"0",Mayagüez,2022,To PR-64,To PR-341,"1,051",./0.png
-67.1738,18.2468,62,PR-64 SB TO PR-341,DPR64SBTOPR341,18.2468,-67.1738,"4.2",Mayagüez,2022,To PR-341,To PR-64,"545",./0.png
-67.1734,18.3204,63,PR-411,A041100980,18.3204,-67.1734,"10",Aguada,2020,To PR-416,To PR-4411,"2,490",./0.png
-67.1729,18.3737,64,PR-417,A041700110,18.3737,-67.1729,"1.7",Aguada,2019,To PR-2,To PR-416,"15,911",./0.png
-67.1728,18.3737,65,PR-417,D00041700110,18.3737,-67.1728,"1.65",Aguada,2022,To PR-2,To PR-416,"15,809",./0.png
-67.1721,18.3233,66,PR-416,A041600780,18.3233,-67.1721,"8.75",Aguada,2019,To PR-419,To PR-411,"4,811",./0.png
-67.1695,18.3164,67,PR-4411,A441100000,18.3164,-67.1695,"0.6",Aguada,2020,To End of Road,To PR-411,"316",./0.png
-67.1685,18.3561,68,PR-4416,A441600000,18.3561,-67.1685,"1.3",Aguada,2020,To PR-2,To PR-416,"4,893",./0.png
-67.1683,18.3316,69,PR-416,A041600460,18.3316,-67.1683,"6.9",Aguada,2020,To PR-403,To PR-419,"1,529",./0.png
-67.1676,18.028,70,PR-101,C00010101790,18.028,-67.1676,"18.4",Cabo Rojo,2021,To PR-100,To PR-307,"6,284",./0.png
-67.1675,18.3254,71,PR-416,D00041600780,18.3254,-67.1675,"8",Aguada,2022,To PR-419,To PR-411,"4,807",./0.png
-67.1675,18.3965,72,PR-4441,A444100000,18.3965,-67.1675,"0.1",Aguada,2020,To PR-439,To End of Road,"163",./0.png
-67.1651,18.0738,73,PR-307,A030700000,18.0738,-67.1651,"0.8",Cabo Rojo,2019,To PR?308,To CAMINO SANTOS NEGRON,"3,420",./0.png
-67.1649,18.2793,74,PR-2 SB TO PR-115 NB,DPR2SBTOPR115NB,18.2793,-67.1649,"145.55",Añasco,2022,To PR-115,To PR-2,"166",./0.png
-67.1647,18.0786,75,PR-308,D00030800100,18.0786,-67.1647,"1.6",Cabo Rojo,2022,To PR-307,To PR-102,"7,205",./0.png
-67.1646,18.2783,76,PR-115 SB TO PR-2 SB,DPR115SBTOPR2SB,18.2783,-67.1646,"0",Añasco,2022,To PR-2,To PR-115,"3,604",./0.png
-67.1646,18.3972,77,PR-439,A043900000,18.3972,-67.1646,"0.4",Aguada,2020,To PR-115,To PR-4441,"1,274",./0.png
